,titulo,subtitulo,enlace
36,GREAL SQUEAL,Chelsea legend JT’s close encounter with an alligator leaves Grealish stunned,https://www.thesun.co.uk/sport/21034198/chelsea-legend-john-terry-golf-alligator-jack-grealish/
37,ROS ROCKET,How Arsenal lined up last time they won at Spurs with Arteta and Rosicky in side,https://www.thesun.co.uk/sport/21036238/arsenal-lined-up-won-tottenham-arteta-rosicky-adebayor/
38,TAKING THE MYK,Mudryk breaks silence over Arsenal transfer as he prays on Instagram,https://www.thesun.co.uk/sport/21029654/mykhailo-mudryk-breaks-silence-arsenal-transfer-shakhtar-donetsk/
39,BELLING HELL,True cost of Jude Bellingham transfer revealed as clubs face MASSIVE bill,https://www.thesun.co.uk/sport/21034028/true-jude-bellingham-transfer-man-city-liverpool-wages/
40,RON IT BACK,Messi's dad 'in Riyadh' for Al-Hilal talks in huge transfer to eclipse Ronaldo,https://www.thesun.co.uk/sport/21026916/messi-dad-saudi-arabia-transfer-talks-ronaldo/
41,PROMOTION,The best casino bonuses for players in the UK: Top 10 sites for 2023,https://www.thesun.co.uk/betting/20754895/casino-bonus/
42,'ONLY JESUS',Arsenal target Mudryk's amazing tattoos revealed as transfer talks continue,https://www.thesun.co.uk/sport/21021167/arsenal-mykhailo-mudryk-tattoos-transfer/
43,THE OSCAR GOES TO...,Spurs scout Israeli prodigy Oscar Gloukh but face battle with Barca,https://www.thesun.co.uk/sport/football/21039018/tottenham-barcelona-oscar-gloukh-transfer/
44,QUICK MATH,Wolves ‘must pay £44m for Cunha as he meets conditions for permanent transfer’,https://www.thesun.co.uk/sport/21029460/wolves-to-sign-loanee-matheus-cunha-permanent-transfer/
45,PORR FORM,Spurs' bid for Sporting's Porro could be sabotaged by two players in their squad,https://www.thesun.co.uk/sport/21026290/tottenham-transfer-sporting-pedro-porro-players/
46,TAKING THE MYK,Arsenal make new Mykhailo Mudryk transfer bid worth club-record fee,https://www.thesun.co.uk/sport/21032591/arsenal-mykhailo-mudryk-transfer-84million-gunners-shakhtar/
47,MAN UTD LIVE,"Weghorst deal CONFIRMED, Dalot OUT of derby, transfer latest",https://www.thesun.co.uk/sport/20874338/man-utd-transfer-news-live-wout-weghorst-confirmed-diogo-dalot-wan-bissaka/
48,GUNNERS LIVE,"Arteta 'confirms' Mudryk interest, Gabriel Jesus injury latest, Spurs build-up",https://www.thesun.co.uk/sport/20803775/arsenal-transfer-news-live-mykhailo-mudryk-mikel-arteta-gabriel-jesus/
49,MAR-IN,Chelsea ready to poach highly-rated Real Madrid defender Rafa Marin for just £9m,https://www.thesun.co.uk/sport/21031284/chelsea-real-madrid-rafa-marin-bargain-transfer/
50,NEW TRAFFORD,Utd's revamp plans include DEMOLISHING Old Trafford and building new stadium,https://www.thesun.co.uk/sport/21032222/man-utd-old-trafford-new-stadium-glazers/
51,GLAZE OVER,Man Utd could be sold by April with takeover bids expected by mid-February,https://www.thesun.co.uk/sport/21034000/man-utd-galzer-owners-april-takeover-bids/
52,'GO TO BAYERN',Havertz Instagram plea for ‘togetherness’ amid Chelsea's dire run backfires,https://www.thesun.co.uk/sport/21037237/kai-havertz-chelsea-instagram-togetherness-plea-backfires/
53,DERBY DISTRESS,'Wipe floor with them' - Sutton makes BRUTAL North London derby prediction,https://www.thesun.co.uk/sport/21033344/tottenham-arsenal-predictionnorth-london-derby-sutton/
54,TAKE IT AS RED,Erik ten Hag says Man Utd have learned their lesson from Man City hammering,https://www.thesun.co.uk/sport/21036965/erik-ten-hag-man-utd-man-city-revenge-derby/
55,SEEING IS BELIEVING,Ferdinand no longer watches Man Utd through fingers and praises Ten Hag,https://www.thesun.co.uk/sport/21027944/ferdinand-fear-watching-man-utd-manchester-derby-exclusive/
56,CITY SPEAK OUT,Man City statement on Mendy after he's cleared of 6 rapes but faces retrial,https://www.thesun.co.uk/sport/21033859/benjamin-mendy-cleared-rape-man-city-statement/
57,NO CAN DO,Man Utd icon Cantona says club 'can't buy the best' and should copy Liverpool,https://www.thesun.co.uk/sport/21026933/man-utd-eric-cantona-liverpool/
58,RE-UNITED,Man Utd icons Sir Alex Ferguson and Cantona pose at art exhibition ahead of derby,https://www.thesun.co.uk/sport/21031888/alex-ferguson-eric-cantona-manchester-united-art-derby/
59,LUCKY DEVILS,I was one of only TWO Man Utd players not to get Ferguson hairdryer treatment,https://www.thesun.co.uk/sport/21032501/manchester-united-players-sir-alex-ferguson-hairdryer-treatment-fergie/
60,PROMOTION,"Best football betting sites in the UK: Top online bookies for January, 2023",https://www.thesun.co.uk/betting/20574123/best-football-betting-sites/
61,BIG OFFER,Betfair free bets: Stake £10 on football to get £30 bonus - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus-football/
62,REVIEW,The best online casinos in the UK: Top 10 casino sites for January 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
63,TALL ORDER,Ronaldo's debut date set as his image is projected on world's tallest building,https://www.thesun.co.uk/sport/21016944/cristiano-ronaldo-al-nassr-debut/
64,ONLY RON WINNER,Fifa reveal The Best award nominees with Messi in but Ronaldo SNUBBED,https://www.thesun.co.uk/sport/21026361/lionel-messi-ronaldo-fifa-best-award/
65,SWICH HITTER,Chaplin's 'step down' to high -flying Ipswich is best thing he's done,https://www.thesun.co.uk/sport/21034875/conor-chaplin-ipswich-barnsley-leage-one/
66,WAIT AND SEA,Fans in hysterics as non-league Redbridge FC pitch looks more like the SEA,https://www.thesun.co.uk/sport/21037370/non-league-redbridge-fc-pitch-inspection/
67,PIERS MORGAN,I've never been happier to make an a*** of myself - I was wrong about Arteta,https://www.thesun.co.uk/sport/21013934/arsenal-tottenham-arteta-piers-morgan/
68,MARK IRWIN,Five points separate bottom eight in Prem survival race - it's squeaky bum time,https://www.thesun.co.uk/sport/21026267/premier-league-relegation-everton-leeds-leicester/
69,TIM VICKERY,How fate denied Brazil legend Bobby Dinamite chance to be a World Cup hero,https://www.thesun.co.uk/sport/20982937/roberto-dinamite-brazil-world-cup-dead/
70,IN THE KNO,World's sexiest fan Ivana Knoll shows off stunning figure in tiny bikini,https://www.thesun.co.uk/sport/21021348/worlds-sexiest-fan-ivana-knoll-bikini-instagram/
71,ON CORCE,New Chelsea ace Felix’s Wag Margarida Corceiro braves cold on Oxford Street trip,https://www.thesun.co.uk/sport/21025643/chelsea-felix-wag-maragarida-corceiro-cold-oxford-street-picture/
72,WEB OF LIES,Match of the Day presenter mortified as picture appears on X-rated dating site,https://www.thesun.co.uk/sport/21023012/bbc-sport-presenter-emma-louise-jones-dating-site/
