,titulo,subtitulo,enlace
36,DEN AND OUT,Chelsea injury blow as boss Potter confirms Zakaria is out for four weeks,https://www.thesun.co.uk/sport/21057441/chelsea-injury-potter-zakaria-crisis/
37,HEN PARTY,"Man Utd, Arsenal & Newcastle set for £135m battle over Napoli striker Osimhen",https://www.thesun.co.uk/sport/21062167/man-utd-arsenal-newcastle-transfer-napoli-osimhen/
38,HAMMERING AWAY,West Ham boss Moyes going game-by-game but WILL be in charge vs Everton,https://www.thesun.co.uk/sport/21053262/west-ham-moyes-in-charge-everton/
39,BLOOMING GORGEOUS,Diletta Leotta stuns in floral outfit as she plays padel with Karius,https://www.thesun.co.uk/sport/21058672/diletta-leotta-outfit-padel-boyfriend-loris-karius/
40,JOS THE TICKET,Newcastle flop Joselu scores goal from near the HALFWAY line for Espanyol,https://www.thesun.co.uk/sport/21056172/joselu-goal-near-halfway-espanyol-la-liga-newcastle/
41,FAB £30,Bonus: Get £30 in FREE BETS when you stake £10 with Sky Bet -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19781466/sky-bet-30-free-bets/
42,TOUCH OF CLASS,Arsenal squad dedicate Tottenham win to Beth Mead's mum after tragic death,https://www.thesun.co.uk/sport/21052608/arsenal-squad-tribute-beth-mead-mum-tottenham-win/
43,PER-WRONG,Man City 'fail with transfer offer for Argentine wonderkid Maximo Perrone',https://www.thesun.co.uk/sport/21061315/manchester-city-transfer-velez-sarsfield-perrone-guardiola/
44,BETTING TIPS,Best live casinos in the UK: Top 10 sites for 2023,https://www.thesun.co.uk/betting/20833219/live-casinos/
45,NEW FACES,"Newcastle plotting swoop on Chelsea for Gallagher, Loftus-Cheek and Ziyech",https://www.thesun.co.uk/sport/21062760/newcastle-plotting-triple-chelsea-gallagher-loftus-cheek-ziyech/
46,SECRET AGENT,Marco Reus’ agent spotted at Old Trafford fuelling Man Utd transfer rumours,https://www.thesun.co.uk/sport/21057821/reus-agent-spotted-old-trafford-man-utd-transfer/
47,VLA VA VOOM,Arsenal 'set to bid £71m for Juventus ace Vlahovic' after missing out on Mudryk,https://www.thesun.co.uk/sport/football/21060245/vlahovic-arsenal-transfer-juventus-chelsea/
48,MOU HOPE,Chelsea and Newcastle on transfer alert as Moukoko set deadline to sign new deal,https://www.thesun.co.uk/sport/21059978/chelsea-newcastle-transfer-alert-moukoko-dortmund-contract-deadline/
49,STUCK IN THE MUD,Five players Arsenal could turn to after missing out on Mudryk to Chelsea,https://www.thesun.co.uk/sport/21051178/five-players-arsenal-target-missing-mudryk-transfer/
50,ARE YOU MUD,Chelsea fans FUME with Mykhailo Mudryk deal after failing in Enzo Fernandez bid,https://www.thesun.co.uk/sport/21045675/chelsea-mykhailo-mudryk-enzo-fernandez-shakhtar-donetsk-benfica/
51,DOR IS OPEN,Man Utd star Elanga ‘wanted by Borussia Dortmund in loan transfer’,https://www.thesun.co.uk/sport/21062488/elanga-wanted-borussia-dortmund-loan-transfer-man-utd/
52,OD CALL,Chelsea star Callum Hudson-Odoi considering quitting club at end of season,https://www.thesun.co.uk/sport/21055923/callum-hudson-odoi-considering-quitting-chelsea/
